scenario,group,llm_type,dataset,n_valid,n_superfluous,sum_count,A_prevalence,B_intensity,scenario_short
"Successfully plan the restoration of an organ.. In this scenario Paul has to plan a similar restoration. However, from his already extensive knowledge about organs, he is uncertain about some of the information that was provided by the encyclopaedia. That is, some of the mentioned components and technicalities such as the pitch seemed illogical when compared to the other organs from the same organ builder. If it would somehow be possible to mark facts that are unreliable or untrue, that would save Paul a lot of time checking, verifying, and notating.
    Het Historische Orgel in Nederland – Dutch organ encyclopedia
    http://www.orgbase.nl – Dutch hobbyist-made website with information similar to Het Historische Orgel
    Church and city archives
    Old newspapers
    https://www.delpher.nl – digital database from the Dutch Royal Library
    Organs (sight visits)
    http://www.dtbob.org/ – Belgian digital organ database",NeoNGPT_Qwen3,open,Polifonia,3,1,4,0.3333333333333333,1.3333333333333333,Successfully plan the restoration of an organ.. In this scen
"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",Gold,human,IB_WHOW_CVN,1,0,0,0.0,0.0,A circular value network consists of one or many actors that
"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,A circular value network consists of one or many actors that
A circular value network has some process which outlines work done by different actors in this network,Gold,human,IB_WHOW_CVN,3,1,2,0.3333333333333333,0.6666666666666666,A circular value network has some process which outlines wor
A circular value network has some process which outlines work done by different actors in this network,OntoChat,closed,IB_WHOW_CVN,5,1,1,0.2,0.2,A circular value network has some process which outlines wor
"A manufacturer of a product needs to understand the composition and origin of the materials, as well as their production processes, to mitigate risks in the supply chain, analyse and improve the supply chain, ensure compliance with regulations etc. Although some stakeholders in the supply chain may be unknown, data origin and proof of validity is important.",Gold,human,IB_WHOW_CVN,1,0,0,0.0,0.0,A manufacturer of a product needs to understand the composit
"A manufacturer of a product needs to understand the composition and origin of the materials, as well as their production processes, to mitigate risks in the supply chain, analyse and improve the supply chain, ensure compliance with regulations etc. Although some stakeholders in the supply chain may be unknown, data origin and proof of validity is important.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,A manufacturer of a product needs to understand the composit
"A product is made up of components, which in turn are made up of materials that have a certain properties, and provenance.",Gold,human,IB_WHOW_CVN,1,1,1,1.0,1.0,"A product is made up of components, which in turn are made u"
"A product is made up of components, which in turn are made up of materials that have a certain properties, and provenance.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,"A product is made up of components, which in turn are made u"
"Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step) and holds one or more competencies to do that work. Also, actors might or might not hold the necessary infrastructure and resources to perform the work. Each actor is of a certain type, and has a role in the network.",Gold,human,IB_WHOW_CVN,1,0,0,0.0,0.0,Actors collaborate to achieve the value proposition of the c
"Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step) and holds one or more competencies to do that work. Also, actors might or might not hold the necessary infrastructure and resources to perform the work. Each actor is of a certain type, and has a role in the network.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,Actors collaborate to achieve the value proposition of the c
"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A product can be resold, refurbished, or enter into a take-back system, after dismantling, by some actors (e.g. building owner, or manufacturer).",Gold,human,IB_WHOW_CVN,1,0,0,0.0,0.0,An inventory consists of products (materials) and their quan
"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A product can be resold, refurbished, or enter into a take-back system, after dismantling, by some actors (e.g. building owner, or manufacturer).",OntoChat,closed,IB_WHOW_CVN,5,1,1,0.2,0.2,An inventory consists of products (materials) and their quan
"Based on the fact that I have the evening off, that it is going to rain, and that I like to go to the movies on my free-time, the system finds a film that I could see tonight.",Gold,human,IB_WHOW_CVN,2,2,6,1.0,3.0,"Based on the fact that I have the evening off, that it is go"
"Based on the fact that I have the evening off, that it is going to rain, and that I like to go to the movies on my free-time, the system finds a film that I could see tonight.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,"Based on the fact that I have the evening off, that it is go"
"Each circular value network has certain inputs that drive the work of that network. Inputs could be in the form of products, components, and materials, and could also be the outputs coming from another circular value network. Inputs also apply to phases, steps, and work inside the network.",Gold,human,IB_WHOW_CVN,1,0,0,0.0,0.0,Each circular value network has certain inputs that drive th
"Each circular value network has certain inputs that drive the work of that network. Inputs could be in the form of products, components, and materials, and could also be the outputs coming from another circular value network. Inputs also apply to phases, steps, and work inside the network.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,Each circular value network has certain inputs that drive th
For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,Gold,human,IB_WHOW_CVN,1,1,1,1.0,1.0,For each piece of work an actor does for a certain part of a
For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,OntoChat,closed,IB_WHOW_CVN,1,0,0,0.0,0.0,For each piece of work an actor does for a certain part of a
"I am alone in the bathroom. I am standing facing the mirror with the electric toothbrush in my hand, hence, the system recognizes that I am brushing my teeth.",Gold,human,IB_WHOW_CVN,3,2,3,0.6666666666666666,1.0,I am alone in the bathroom. I am standing facing the mirror 
"I am alone in the bathroom. I am standing facing the mirror with the electric toothbrush in my hand, hence, the system recognizes that I am brushing my teeth.",OntoChat,closed,IB_WHOW_CVN,5,2,2,0.4,0.4,I am alone in the bathroom. I am standing facing the mirror 
I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,Gold,human,IB_WHOW_CVN,2,2,3,1.0,1.5,I am living in Berlin and I like to get the local weather di
I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,OntoChat,closed,IB_WHOW_CVN,5,4,4,0.8,0.8,I am living in Berlin and I like to get the local weather di
"I like going to the movies when it is raining, and I especially like to see action movies.",Gold,human,IB_WHOW_CVN,2,2,3,1.0,1.5,"I like going to the movies when it is raining, and I especia"
"I like going to the movies when it is raining, and I especially like to see action movies.",OntoChat,closed,IB_WHOW_CVN,5,3,3,0.6,0.6,"I like going to the movies when it is raining, and I especia"
I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,Gold,human,IB_WHOW_CVN,3,3,4,1.0,1.3333333333333333,I was brushing my teeth in the bathroom on Thursday morning.
I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,OntoChat,closed,IB_WHOW_CVN,5,1,1,0.2,0.2,I was brushing my teeth in the bathroom on Thursday morning.
"Recycling of a product may depend on its material composition, efficiency of recycling.",Gold,human,IB_WHOW_CVN,2,1,1,0.5,0.5,Recycling of a product may depend on its material compositio
"Recycling of a product may depend on its material composition, efficiency of recycling.",OntoChat,closed,IB_WHOW_CVN,5,1,1,0.2,0.2,Recycling of a product may depend on its material compositio
"Resources are what is worked on in the circular value network. Resources are used as inputs but could also be outputs from the network, and its processes, steps etc. For resources that are part of a circular value network they will be of a certain type (is it a product, component or material). Also, for these resources, their composition is ideally known at some level. Resources can also be used in processing steps, but without being the main focus of the value network, e.g. consumables, catalysts.",Gold,human,IB_WHOW_CVN,3,0,0,0.0,0.0,Resources are what is worked on in the circular value networ
"Resources are what is worked on in the circular value network. Resources are used as inputs but could also be outputs from the network, and its processes, steps etc. For resources that are part of a circular value network they will be of a certain type (is it a product, component or material). Also, for these resources, their composition is ideally known at some level. Resources can also be used in processing steps, but without being the main focus of the value network, e.g. consumables, catalysts.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,Resources are what is worked on in the circular value networ
"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",Gold,human,IB_WHOW_CVN,2,0,0,0.0,0.0,"Sage, a water resource manager with a background in environm"
"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,"Sage, a water resource manager with a background in environm"
"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get to select the time of the show, the seat I want at the movie theatre. Finally, I pay by credit card.",Gold,human,IB_WHOW_CVN,2,2,4,1.0,2.0,The system asks me if I want to order tickets to a proposed 
"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get to select the time of the show, the seat I want at the movie theatre. Finally, I pay by credit card.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,The system asks me if I want to order tickets to a proposed 
"The value proposition that a circular value network holds is the value the network can generate and which motivates its existence. It could be in the form of business value as in monetary terms, but also in the form of environmental, sustainability and performance values.",Gold,human,IB_WHOW_CVN,1,0,0,0.0,0.0,The value proposition that a circular value network holds is
"The value proposition that a circular value network holds is the value the network can generate and which motivates its existence. It could be in the form of business value as in monetary terms, but also in the form of environmental, sustainability and performance values.",OntoChat,closed,IB_WHOW_CVN,5,0,0,0.0,0.0,The value proposition that a circular value network holds is
"There are many different weather services available online, I prefer www.yr.no. My preferred configuration of the service is the weather service for Berlin with the current 3-day prognosis.",Gold,human,IB_WHOW_CVN,3,3,4,1.0,1.3333333333333333,"There are many different weather services available online, "
"There are many different weather services available online, I prefer www.yr.no. My preferred configuration of the service is the weather service for Berlin with the current 3-day prognosis.",OntoChat,closed,IB_WHOW_CVN,5,2,2,0.4,0.4,"There are many different weather services available online, "
"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",Gold,human,IB_WHOW_CVN,2,2,2,1.0,1.0,There are several actors involved in a construction use case
"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",OntoChat,closed,IB_WHOW_CVN,5,1,1,0.2,0.2,There are several actors involved in a construction use case
"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",Gold,human,IB_WHOW_CVN,3,3,4,1.0,1.3333333333333333,"There is a sneak preview of an action film called ""X-men"" to"
"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",OntoChat,closed,IB_WHOW_CVN,5,1,1,0.2,0.2,"There is a sneak preview of an action film called ""X-men"" to"
"Today my calendar contains a meeting at noon, but then I have the afternoon and evening off.",Gold,human,IB_WHOW_CVN,2,1,1,0.5,0.5,"Today my calendar contains a meeting at noon, but then I hav"
"Today my calendar contains a meeting at noon, but then I have the afternoon and evening off.",OntoChat,closed,IB_WHOW_CVN,5,1,1,0.2,0.2,"Today my calendar contains a meeting at noon, but then I hav"
"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",Gold,human,IB_WHOW_CVN,4,3,4,0.75,1.0,When I am standing in front of the mirror brushing my teeth 
"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",OntoChat,closed,IB_WHOW_CVN,5,2,2,0.4,0.4,When I am standing in front of the mirror brushing my teeth 
"A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value proposition of achieving beneficial outcomes that the actors involved in the network would not be able to achieve in solitude. To reach this goal actors make use of inputs in the form of competencies and resources according to a specified logic. The circular value network outputs are the value proposition in it self, but also the possible secondary values in products, materials or competencies that could be useful in other contexts.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,11,12,0.55,0.6,A circular value network consists of one or many actors that
A circular value network has some process which outlines work done by different actors in this network,NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,16,26,0.8,1.3,A circular value network has some process which outlines wor
"A manufacturer of a product needs to understand the composition and origin of the materials, as well as their production processes, to mitigate risks in the supply chain, analyse and improve the supply chain, ensure compliance with regulations etc. Although some stakeholders in the supply chain may be unknown, data origin and proof of validity is important.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,13,14,0.65,0.7,A manufacturer of a product needs to understand the composit
"A product is made up of components, which in turn are made up of materials that have a certain properties, and provenance.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,14,15,0.7,0.75,"A product is made up of components, which in turn are made u"
"Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or more pieces of work (in a step) and holds one or more competencies to do that work. Also, actors might or might not hold the necessary infrastructure and resources to perform the work. Each actor is of a certain type, and has a role in the network.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,15,12,12,0.8,0.8,Actors collaborate to achieve the value proposition of the c
"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A product can be resold, refurbished, or enter into a take-back system, after dismantling, by some actors (e.g. building owner, or manufacturer).",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,16,27,0.8,1.35,An inventory consists of products (materials) and their quan
"Based on the fact that I have the evening off, that it is going to rain, and that I like to go to the movies on my free-time, the system finds a film that I could see tonight.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,20,27,1.0,1.35,"Based on the fact that I have the evening off, that it is go"
"Each circular value network has certain inputs that drive the work of that network. Inputs could be in the form of products, components, and materials, and could also be the outputs coming from another circular value network. Inputs also apply to phases, steps, and work inside the network.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,15,17,0.75,0.85,Each circular value network has certain inputs that drive th
For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,NeoNGPT_GPT4o,closed,IB_WHOW_CVN,17,15,22,0.8823529411764706,1.2941176470588236,For each piece of work an actor does for a certain part of a
"I am alone in the bathroom. I am standing facing the mirror with the electric toothbrush in my hand, hence, the system recognizes that I am brushing my teeth.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,20,36,1.0,1.8,I am alone in the bathroom. I am standing facing the mirror 
I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,18,26,0.9,1.3,I am living in Berlin and I like to get the local weather di
I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,NeoNGPT_Qwen3,open,IB_WHOW_CVN,20,20,36,1.0,1.8,I am living in Berlin and I like to get the local weather di
"I like going to the movies when it is raining, and I especially like to see action movies.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,18,31,0.9,1.55,"I like going to the movies when it is raining, and I especia"
"I like going to the movies when it is raining, and I especially like to see action movies.",NeoNGPT_Qwen3,open,IB_WHOW_CVN,50,50,85,1.0,1.7,"I like going to the movies when it is raining, and I especia"
I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,NeoNGPT_GPT4o,closed,IB_WHOW_CVN,15,15,40,1.0,2.6666666666666665,I was brushing my teeth in the bathroom on Thursday morning.
"Recycling of a product may depend on its material composition, efficiency of recycling.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,25,21,29,0.84,1.16,Recycling of a product may depend on its material compositio
"Resources are what is worked on in the circular value network. Resources are used as inputs but could also be outputs from the network, and its processes, steps etc. For resources that are part of a circular value network they will be of a certain type (is it a product, component or material). Also, for these resources, their composition is ideally known at some level. Resources can also be used in processing steps, but without being the main focus of the value network, e.g. consumables, catalysts.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,11,16,0.55,0.8,Resources are what is worked on in the circular value networ
"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,15,16,0.75,0.8,"Sage, a water resource manager with a background in environm"
"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get to select the time of the show, the seat I want at the movie theatre. Finally, I pay by credit card.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,19,29,0.95,1.45,The system asks me if I want to order tickets to a proposed 
"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get to select the time of the show, the seat I want at the movie theatre. Finally, I pay by credit card.",NeoNGPT_Qwen3,open,IB_WHOW_CVN,4,2,2,0.5,0.5,The system asks me if I want to order tickets to a proposed 
"The value proposition that a circular value network holds is the value the network can generate and which motivates its existence. It could be in the form of business value as in monetary terms, but also in the form of environmental, sustainability and performance values.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,13,14,0.65,0.7,The value proposition that a circular value network holds is
"There are many different weather services available online, I prefer www.yr.no. My preferred configuration of the service is the weather service for Berlin with the current 3-day prognosis.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,16,23,0.8,1.15,"There are many different weather services available online, "
"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,20,26,1.0,1.3,There are several actors involved in a construction use case
"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",NeoNGPT_Qwen3,open,IB_WHOW_CVN,50,49,57,0.98,1.14,There are several actors involved in a construction use case
"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,19,25,0.95,1.25,"There is a sneak preview of an action film called ""X-men"" to"
"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",NeoNGPT_Qwen3,open,IB_WHOW_CVN,1,1,1,1.0,1.0,"There is a sneak preview of an action film called ""X-men"" to"
"Today my calendar contains a meeting at noon, but then I have the afternoon and evening off.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,20,20,34,1.0,1.7,"Today my calendar contains a meeting at noon, but then I hav"
"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",NeoNGPT_GPT4o,closed,IB_WHOW_CVN,15,14,18,0.9333333333333333,1.2,When I am standing in front of the mirror brushing my teeth 
